i	E(i)	g[i]	hist[i]
282	436.000000	-10236723.806249	1
283	438.000000	-10236722.806249	2
284	440.000000	-10236719.806250	5
285	442.000000	-10236723.806249	1
286	444.000000	-10236720.806249	4
287	446.000000	-10236722.806249	2
288	448.000000	-10236723.806249	1
289	450.000000	-10236723.806249	1
290	452.000000	-10236722.806249	2
291	454.000000	-10236723.806249	1
292	456.000000	-10236722.806249	2
293	458.000000	-10236722.806249	2
294	460.000000	-10236720.806249	4
295	462.000000	-10236720.806249	4
296	464.000000	-10236723.806249	1
297	466.000000	-10236722.806249	2
298	468.000000	-10236722.806249	2
299	470.000000	-10236723.806249	1
300	472.000000	-10236723.806249	1
301	474.000000	-10236723.806249	1
302	476.000000	-10236723.806249	1
303	478.000000	-10236720.806249	4
304	480.000000	-10236720.806249	4
305	482.000000	-10236721.806249	3
306	484.000000	-10236723.806249	1
307	486.000000	-10236723.806249	1
308	488.000000	-10236720.806249	4
309	490.000000	-10236721.806249	3
310	492.000000	-10236723.806249	1
311	494.000000	-10236723.806249	1
312	496.000000	-10236723.806249	1
313	498.000000	-10236723.806249	1
314	500.000000	-10236722.806249	2
315	502.000000	-10236723.806249	1
316	504.000000	-10236717.806250	7
317	506.000000	-10236722.806249	2
318	508.000000	-10236723.806249	1
319	510.000000	-10236723.806249	1
320	512.000000	-10236721.806249	3
321	514.000000	-10236722.806249	2
322	516.000000	-10236723.806249	1
323	518.000000	-10236723.806249	1
324	520.000000	-10236722.806249	2
325	522.000000	-10236720.806249	4
326	524.000000	-10236723.806249	1
327	526.000000	-10236723.806249	1
328	528.000000	-10236722.806249	2
329	530.000000	-10236722.806249	2
330	532.000000	-10236721.806249	3
331	534.000000	-10236722.806249	2
332	536.000000	-10236723.806249	1
333	538.000000	-10236723.806249	1
334	540.000000	-10236722.806249	2
335	542.000000	-10236723.806249	1
336	544.000000	-10236722.806249	2
337	546.000000	-10236721.806249	3
338	548.000000	-10236721.806249	3
339	550.000000	-10236723.806249	1
340	552.000000	-10236722.806249	2
341	554.000000	-10236723.806249	1
342	556.000000	-10236722.806249	2
343	558.000000	-10236722.806249	2
344	560.000000	-10236723.806249	1
345	562.000000	-10236722.806249	2
346	564.000000	-10236721.806249	3
347	566.000000	-10236723.806249	1
348	568.000000	-10236720.806249	4
349	570.000000	-10236723.806249	1
350	572.000000	-10236723.806249	1
351	574.000000	-10236723.806249	1
352	576.000000	-10236723.806249	1
353	578.000000	-10236723.806249	1
354	580.000000	-10236719.806250	5
355	582.000000	-10236723.806249	1
356	584.000000	-10236722.806249	2
357	586.000000	-10236723.806249	1
358	588.000000	-10236721.806249	3
359	590.000000	-10236721.806249	3
360	592.000000	-10236722.806249	2
361	594.000000	-10236723.806249	1
362	596.000000	-10236723.806249	1
363	598.000000	-10236723.806249	1
364	600.000000	-10236721.806249	3
365	602.000000	-10236722.806249	2
366	604.000000	-10236723.806249	1
367	606.000000	-10236720.806249	4
368	608.000000	-10236721.806249	3
369	610.000000	-10236720.806249	4
370	612.000000	-10236722.806249	2
371	614.000000	-10236721.806249	3
372	616.000000	-10236722.806249	2
373	618.000000	-10236721.806249	3
374	620.000000	-10236710.806250	14
375	622.000000	-10236722.806249	2
376	624.000000	-10236723.806249	1
377	626.000000	-10236723.806249	1
378	628.000000	-10236722.806249	2
379	630.000000	-10236722.806249	2
380	632.000000	-10236723.806249	1
381	634.000000	-10236723.806249	1
382	636.000000	-10236720.806249	4
383	638.000000	-10236718.806250	6
384	640.000000	-10236723.806249	1
385	642.000000	-10236723.806249	1
386	644.000000	-10236720.806249	4
387	646.000000	-10236723.806249	1
388	648.000000	-10236720.806249	4
389	650.000000	-10236722.806249	2
390	652.000000	-10236721.806249	3
391	654.000000	-10236720.806249	4
392	656.000000	-10236722.806249	2
393	658.000000	-10236722.806249	2
394	660.000000	-10236722.806249	2
395	662.000000	-10236723.806249	1
396	664.000000	-10236721.806249	3
397	666.000000	-10236721.806249	3
398	668.000000	-10236716.806250	8
399	670.000000	-10236723.806249	1
400	672.000000	-10236723.806249	1
401	674.000000	-10236719.806250	5
402	676.000000	-10236722.806249	2
403	678.000000	-10236717.806250	7
404	680.000000	-10236723.806249	1
405	682.000000	-10236722.806249	2
406	684.000000	-10236721.806249	3
407	686.000000	-10236723.806249	1
408	688.000000	-10236719.806250	5
409	690.000000	-10236722.806249	2
410	692.000000	-10236723.806249	1
411	694.000000	-10236721.806249	3
412	696.000000	-10236719.806250	5
413	698.000000	-10236723.806249	1
414	700.000000	-10236722.806249	2
415	702.000000	-10236723.806249	1
416	704.000000	-10236723.806249	1
417	706.000000	-10236721.806249	3
418	708.000000	-10236721.806249	3
419	710.000000	-10236723.806249	1
420	712.000000	-10236720.806249	4
421	714.000000	-10236723.806249	1
