0.000000	-nan	-nan
2.100000	3.885483	169.872742
2.110000	3.879943	167.762622
2.120000	3.874434	165.681684
2.130000	3.868956	163.629438
2.140000	3.863510	161.605404
2.150000	3.858095	159.609112
2.160000	3.852711	157.640100
2.170000	3.847358	155.697918
2.180000	3.842035	153.782121
2.190000	3.836742	151.892275
2.200000	3.831480	150.027954
2.210000	3.826247	148.188740
2.220000	3.821045	146.374222
2.230000	3.815872	144.584001
2.240000	3.810728	142.817679
2.250000	3.805613	141.074873
2.260000	3.800527	139.355201
2.270000	3.795470	137.658291
2.280000	3.790441	135.983780
2.290000	3.785441	134.331308
2.300000	3.780469	132.700524
2.310000	3.775525	131.091083
2.320000	3.770609	129.502647
2.330000	3.765721	127.934885
2.340000	3.760859	126.387469
2.350000	3.756025	124.860081
2.360000	3.751219	123.352407
2.370000	3.746439	121.864138
2.380000	3.741685	120.394973
2.390000	3.736958	118.944614
2.400000	3.732258	117.512770
2.410000	3.727583	116.099155
2.420000	3.722935	114.703488
2.430000	3.718312	113.325494
2.440000	3.713715	111.964903
2.450000	3.709143	110.621447
2.460000	3.704597	109.294866
2.470000	3.700075	107.984904
2.480000	3.695579	106.691309
2.490000	3.691107	105.413834
2.500000	3.686660	104.152237
2.510000	3.682237	102.906278
2.520000	3.677838	101.675723
2.530000	3.673464	100.460342
2.540000	3.669113	99.259910
2.550000	3.664786	98.074204
2.560000	3.660482	96.903006
2.570000	3.656202	95.746101
2.580000	3.651945	94.603280
2.590000	3.647712	93.474334
2.600000	3.643501	92.359061
2.610000	3.639312	91.257262
2.620000	3.635147	90.168738
2.630000	3.631003	89.093299
2.640000	3.626883	88.030753
2.650000	3.622784	86.980914
2.660000	3.618707	85.943600
2.670000	3.614652	84.918630
2.680000	3.610618	83.905827
2.690000	3.606606	82.905017
2.700000	3.602615	81.916028
2.710000	3.598646	80.938694
2.720000	3.594698	79.972847
2.730000	3.590770	79.018327
2.740000	3.586863	78.074972
2.750000	3.582977	77.142625
2.760000	3.579112	76.221132
2.770000	3.575266	75.310342
2.780000	3.571441	74.410103
2.790000	3.567636	73.520270
2.800000	3.563851	72.640697
2.810000	3.560085	71.771243
2.820000	3.556339	70.911767
2.830000	3.552613	70.062133
2.840000	3.548906	69.222203
2.850000	3.545218	68.391846
2.860000	3.541550	67.570930
2.870000	3.537900	66.759327
2.880000	3.534269	65.956908
2.890000	3.530657	65.163551
2.900000	3.527063	64.379132
2.910000	3.523488	63.603530
2.920000	3.519931	62.836626
2.930000	3.516393	62.078303
2.940000	3.512872	61.328447
2.950000	3.509369	60.586943
2.960000	3.505885	59.853681
2.970000	3.502417	59.128551
2.980000	3.498968	58.411444
2.990000	3.495536	57.702255
3.000000	3.492121	57.000878
3.010000	3.488723	56.307211
3.020000	3.485343	55.621153
3.030000	3.481979	54.942602
3.040000	3.478633	54.271462
3.050000	3.475303	53.607636
3.060000	3.471989	52.951027
3.070000	3.468693	52.301543
3.080000	3.465412	51.659091
3.090000	3.462148	51.023580
3.100000	3.458900	50.394921
3.110000	3.455669	49.773024
3.120000	3.452453	49.157805
3.130000	3.449253	48.549176
3.140000	3.446069	47.947055
3.150000	3.442900	47.351357
3.160000	3.439747	46.762001
3.170000	3.436609	46.178907
3.180000	3.433487	45.601995
3.190000	3.430380	45.031188
3.200000	3.427288	44.466408
3.210000	3.424211	43.907579
3.220000	3.421149	43.354628
3.230000	3.418102	42.807480
3.240000	3.415070	42.266063
3.250000	3.412052	41.730306
3.260000	3.409049	41.200139
3.270000	3.406060	40.675491
3.280000	3.403086	40.156295
3.290000	3.400125	39.642483
3.300000	3.397179	39.133990
3.310000	3.394247	38.630750
3.320000	3.391329	38.132698
3.330000	3.388425	37.639771
3.340000	3.385535	37.151907
3.350000	3.382658	36.669044
3.360000	3.379795	36.191121
3.370000	3.376945	35.718078
3.380000	3.374109	35.249856
3.390000	3.371286	34.786398
3.400000	3.368476	34.327645
3.410000	3.365680	33.873542
3.420000	3.362896	33.424032
3.430000	3.360126	32.979061
3.440000	3.357369	32.538574
3.450000	3.354624	32.102518
3.460000	3.351892	31.670841
3.470000	3.349173	31.243490
3.480000	3.346466	30.820415
3.490000	3.343772	30.401564
3.500000	3.341090	29.986889
3.510000	3.338420	29.576339
3.520000	3.335763	29.169867
3.530000	3.333118	28.767426
3.540000	3.330485	28.368967
3.550000	3.327864	27.974445
3.560000	3.325255	27.583813
3.570000	3.322658	27.197027
3.580000	3.320072	26.814042
3.590000	3.317499	26.434815
3.600000	3.314937	26.059301
3.610000	3.312386	25.687458
3.620000	3.309847	25.319245
3.630000	3.307320	24.954619
3.640000	3.304803	24.593539
3.650000	3.302298	24.235965
3.660000	3.299805	23.881858
3.670000	3.297322	23.531177
3.680000	3.294850	23.183884
3.690000	3.292390	22.839940
3.700000	3.289940	22.499308
3.710000	3.287501	22.161951
3.720000	3.285073	21.827831
3.730000	3.282656	21.496913
3.740000	3.280249	21.169160
3.750000	3.277853	20.844537
